"subject" "activity" "variable" "mean(value)"
1 "WALKING_DOWNSTAIRS" "tbodygyro-mean()-z" 0.0749974305928571
1 "WALKING_DOWNSTAIRS" "tbodygyro-std()-x" -0.505927252857143
1 "WALKING_DOWNSTAIRS" "tbodygyro-std()-y" -0.0722302850357143
1 "WALKING_DOWNSTAIRS" "tbodygyro-std()-z" -0.264048974032143
1 "WALKING_DOWNSTAIRS" "tbodygyrojerk-mean()-x" -0.121134045164286
1 "WALKING_DOWNSTAIRS" "tbodygyrojerk-mean()-y" -0.0704164515642857
1 "WALKING_DOWNSTAIRS" "tbodygyrojerk-mean()-z" -0.0169168070785714
1 "WALKING_DOWNSTAIRS" "tbodygyrojerk-std()-x" -0.528469100357143
1 "WALKING_DOWNSTAIRS" "tbodygyrojerk-std()-y" -0.389002888178571
1 "WALKING_DOWNSTAIRS" "tbodygyrojerk-std()-z" -0.383401011071429
1 "WALKING_DOWNSTAIRS" "tbodygyrojerkmag-mean()" -0.405708505357143
1 "WALKING_DOWNSTAIRS" "tbodygyrojerkmag-std()" -0.461512406071429
1 "WALKING_DOWNSTAIRS" "tbodygyromag-mean()" -0.0916624324642857
1 "WALKING_DOWNSTAIRS" "tbodygyromag-std()" -0.204749539785714
1 "WALKING_DOWNSTAIRS" "tgravityacc-mean()-x" 0.905800576071429
1 "WALKING_DOWNSTAIRS" "tgravityacc-mean()-y" -0.330026645
1 "WALKING_DOWNSTAIRS" "tgravityacc-mean()-z" -0.0941463448928571
1 "WALKING_DOWNSTAIRS" "tgravityacc-std()-x" -0.957048614642857
1 "WALKING_DOWNSTAIRS" "tgravityacc-std()-y" -0.945034861071429
1 "WALKING_DOWNSTAIRS" "tgravityacc-std()-z" -0.906579158214286
1 "WALKING_DOWNSTAIRS" "tgravityaccmag-mean()" -0.0140828025671429
1 "WALKING_DOWNSTAIRS" "tgravityaccmag-std()" -0.101515471785714
1 "WALKING_UPSTAIRS" "fbodyacc-mean()-x" -0.568605586936991
1 "WALKING_UPSTAIRS" "fbodyacc-mean()-y" -0.435590309958119
1 "WALKING_UPSTAIRS" "fbodyacc-mean()-z" -0.622737954733542
1 "WALKING_UPSTAIRS" "fbodyacc-std()-x" -0.592481151925078
1 "WALKING_UPSTAIRS" "fbodyacc-std()-y" -0.420395771879091
1 "WALKING_UPSTAIRS" "fbodyacc-std()-z" -0.532475457591223
1 "WALKING_UPSTAIRS" "fbodyaccjerk-mean()-x" -0.579173297953636
1 "WALKING_UPSTAIRS" "fbodyaccjerk-mean()-y" -0.531855037161571
1 "WALKING_UPSTAIRS" "fbodyaccjerk-mean()-z" -0.718218510282132
1 "WALKING_UPSTAIRS" "fbodyaccjerk-std()-x" -0.573954794100627
1 "WALKING_UPSTAIRS" "fbodyaccjerk-std()-y" -0.487435630497743
1 "WALKING_UPSTAIRS" "fbodyaccjerk-std()-z" -0.757327282507837
1 "WALKING_UPSTAIRS" "fbodyaccmag-mean()" -0.51451018417837
1 "WALKING_UPSTAIRS" "fbodyaccmag-std()" -0.618268506526646
1 "WALKING_UPSTAIRS" "fbodybodyaccjerkmag-mean()" -0.532375042459436
1 "WALKING_UPSTAIRS" "fbodybodyaccjerkmag-std()" -0.567060313747649
1 "WALKING_UPSTAIRS" "fbodybodygyrojerkmag-mean()" -0.664403718243574
1 "WALKING_UPSTAIRS" "fbodybodygyrojerkmag-std()" -0.698823947630094
1 "WALKING_UPSTAIRS" "fbodybodygyromag-mean()" -0.560164643022571
1 "WALKING_UPSTAIRS" "fbodybodygyromag-std()" -0.587806637924765
1 "WALKING_UPSTAIRS" "fbodygyro-mean()-x" -0.640742579222884
1 "WALKING_UPSTAIRS" "fbodygyro-mean()-y" -0.533301013116928
1 "WALKING_UPSTAIRS" "fbodygyro-mean()-z" -0.586410823021003
1 "WALKING_UPSTAIRS" "fbodygyro-std()-x" -0.723424966517241
1 "WALKING_UPSTAIRS" "fbodygyro-std()-y" -0.464574198389028
1 "WALKING_UPSTAIRS" "fbodygyro-std()-z" -0.675738548401254
1 "WALKING_UPSTAIRS" "tbodyacc-mean()-x" 0.265130137749216
1 "WALKING_UPSTAIRS" "tbodyacc-mean()-y" -0.0185590134726959
1 "WALKING_UPSTAIRS" "tbodyacc-mean()-z" -0.108975792340125
1 "WALKING_UPSTAIRS" "tbodyacc-std()-x" -0.584539467328931
1 "WALKING_UPSTAIRS" "tbodyacc-std()-y" -0.39909289878558
1 "WALKING_UPSTAIRS" "tbodyacc-std()-z" -0.536504094358307
1 "WALKING_UPSTAIRS" "tbodyaccjerk-mean()-x" 0.0783408328178683
1 "WALKING_UPSTAIRS" "tbodyaccjerk-mean()-y" 0.0159134348518495
1 "WALKING_UPSTAIRS" "tbodyaccjerk-mean()-z" -0.00848661885111599
1 "WALKING_UPSTAIRS" "tbodyaccjerk-std()-x" -0.557076221469279
1 "WALKING_UPSTAIRS" "tbodyaccjerk-std()-y" -0.494172400365831
1 "WALKING_UPSTAIRS" "tbodyaccjerk-std()-z" -0.738499733742947
1 "WALKING_UPSTAIRS" "tbodyaccjerkmag-mean()" -0.574021004097179
1 "WALKING_UPSTAIRS" "tbodyaccjerkmag-std()" -0.545989980899812
1 "WALKING_UPSTAIRS" "tbodyaccmag-mean()" -0.492214147385266
1 "WALKING_UPSTAIRS" "tbodyaccmag-std()" -0.531818239176489
1 "WALKING_UPSTAIRS" "tbodygyro-mean()-x" -0.0234054649840439
1 "WALKING_UPSTAIRS" "tbodygyro-mean()-y" -0.084901663477116
1 "WALKING_UPSTAIRS" "tbodygyro-mean()-z" 0.0872530964713166
1 "WALKING_UPSTAIRS" "tbodygyro-std()-x" -0.702410251081505
1 "WALKING_UPSTAIRS" "tbodygyro-std()-y" -0.484224282954075
1 "WALKING_UPSTAIRS" "tbodygyro-std()-z" -0.626764226316614
1 "WALKING_UPSTAIRS" "tbodygyrojerk-mean()-x" -0.0950035033872414
1 "WALKING_UPSTAIRS" "tbodygyrojerk-mean()-y" -0.0391973611410658
1 "WALKING_UPSTAIRS" "tbodygyrojerk-mean()-z" -0.0497921651970846
1 "WALKING_UPSTAIRS" "tbodygyrojerk-std()-x" -0.647410243423198
1 "WALKING_UPSTAIRS" "tbodygyrojerk-std()-y" -0.656018144169279
1 "WALKING_UPSTAIRS" "tbodygyrojerk-std()-z" -0.68927331655768
1 "WALKING_UPSTAIRS" "tbodygyrojerkmag-mean()" -0.660039846322884
1 "WALKING_UPSTAIRS" "tbodygyrojerkmag-std()" -0.668775141492163
1 "WALKING_UPSTAIRS" "tbodygyromag-mean()" -0.509087500201881
1 "WALKING_UPSTAIRS" "tbodygyromag-std()" -0.525740915096552
1 "WALKING_UPSTAIRS" "tgravityacc-mean()-x" 0.730741616570533
1 "WALKING_UPSTAIRS" "tgravityacc-mean()-y" -0.0608347193134796
1 "WALKING_UPSTAIRS" "tgravityacc-mean()-z" 0.086953080507837
1 "WALKING_UPSTAIRS" "tgravityacc-std()-x" -0.960106153793103
1 "WALKING_UPSTAIRS" "tgravityacc-std()-y" -0.951687434539185
1 "WALKING_UPSTAIRS" "tgravityacc-std()-z" -0.927506230724138
1 "WALKING_UPSTAIRS" "tgravityaccmag-mean()" -0.492214147385266
1 "WALKING_UPSTAIRS" "tgravityaccmag-std()" -0.531818239176489
2 "WALKING" "fbodyacc-mean()-x" -0.57377091142947
2 "WALKING" "fbodyacc-mean()-y" -0.432566581302351
2 "WALKING" "fbodyacc-mean()-z" -0.630081222124834
2 "WALKING" "fbodyacc-std()-x" -0.619788102803311
2 "WALKING" "fbodyacc-std()-y" -0.464723862913245
2 "WALKING" "fbodyacc-std()-z" -0.600678614835099
2 "WALKING" "fbodyaccjerk-mean()-x" -0.561682049622185
2 "WALKING" "fbodyaccjerk-mean()-y" -0.50890379901457
2 "WALKING" "fbodyaccjerk-mean()-z" -0.715745330403973
2 "WALKING" "fbodyaccjerk-std()-x" -0.595105612895033
2 "WALKING" "fbodyaccjerk-std()-y" -0.509147543673841
2 "WALKING" "fbodyaccjerk-std()-z" -0.767087015496689
2 "WALKING" "fbodyaccmag-mean()" -0.514569861316887
2 "WALKING" "fbodyaccmag-std()" -0.646662308457285
2 "WALKING" "fbodybodyaccjerkmag-mean()" -0.509746432970861
2 "WALKING" "fbodybodyaccjerkmag-std()" -0.518800797709272
2 "WALKING" "fbodybodygyrojerkmag-mean()" -0.751615078360927
2 "WALKING" "fbodybodygyrojerkmag-std()" -0.744194981440397
2 "WALKING" "fbodybodygyromag-mean()" -0.699742945221854
2 "WALKING" "fbodybodygyromag-std()" -0.725310337688742
2 "WALKING" "fbodygyro-mean()-x" -0.638717694593046
2 "WALKING" "fbodygyro-mean()-y" -0.722068978635762
2 "WALKING" "fbodygyro-mean()-z" -0.601594889654305
2 "WALKING" "fbodygyro-std()-x" -0.734588540182119
2 "WALKING" "fbodygyro-std()-y" -0.72716774102649
2 "WALKING" "fbodygyro-std()-z" -0.683114494539735
2 "WALKING" "tbodyacc-mean()-x" 0.273113115788079
2 "WALKING" "tbodyacc-mean()-y" -0.0191323183174834
2 "WALKING" "tbodyacc-mean()-z" -0.115649958175497
2 "WALKING" "tbodyacc-std()-x" -0.605586497159271
2 "WALKING" "tbodyacc-std()-y" -0.428962986589404
2 "WALKING" "tbodyacc-std()-z" -0.589360062210596
2 "WALKING" "tbodyaccjerk-mean()-x" 0.0785353156747351
2 "WALKING" "tbodyaccjerk-mean()-y" 0.00708771249764901
2 "WALKING" "tbodyaccjerk-mean()-z" 0.000755760748377483
2 "WALKING" "tbodyaccjerk-std()-x" -0.557809603123841
2 "WALKING" "tbodyaccjerk-std()-y" -0.491875889831788
2 "WALKING" "tbodyaccjerk-std()-z" -0.741885388311258
2 "WALKING" "tbodyaccjerkmag-mean()" -0.58777744543543
2 "WALKING" "tbodyaccjerkmag-std()" -0.512115278415232
2 "WALKING" "tbodyaccmag-mean()" -0.535281800541722
2 "WALKING" "tbodyaccmag-std()" -0.552812545643709
2 "WALKING" "tbodygyro-mean()-x" -0.0517030657821192
2 "WALKING" "tbodygyro-mean()-y" -0.0568420186817881
2 "WALKING" "tbodygyro-mean()-z" 0.0872599422291391
2 "WALKING" "tbodygyro-std()-x" -0.710648927815894
2 "WALKING" "tbodygyro-std()-y" -0.722943674337748
2 "WALKING" "tbodygyro-std()-z" -0.634888927843046
2 "WALKING" "tbodygyrojerk-mean()-x" -0.0875587491668874
2 "WALKING" "tbodygyrojerk-mean()-y" -0.0433986835453642
2 "WALKING" "tbodygyrojerk-mean()-z" -0.0557541828188742
2 "WALKING" "tbodygyrojerk-std()-x" -0.671679103311258
2 "WALKING" "tbodygyrojerk-std()-y" -0.783595466728477
2 "WALKING" "tbodygyrojerk-std()-z" -0.674611933293046
2 "WALKING" "tbodygyrojerkmag-mean()" -0.746559539039735
2 "WALKING" "tbodygyrojerkmag-std()" -0.740088733655629
2 "WALKING" "tbodygyromag-mean()" -0.614771054893146
2 "WALKING" "tbodygyromag-std()" -0.680584887880795
2 "WALKING" "tgravityacc-mean()-x" 0.660782866688742
2 "WALKING" "tgravityacc-mean()-y" -0.147219886910411
2 "WALKING" "tgravityacc-mean()-z" 0.134865335090728
2 "WALKING" "tgravityacc-std()-x" -0.963015508245033
2 "WALKING" "tgravityacc-std()-y" -0.960033560165563
2 "WALKING" "tgravityacc-std()-z" -0.945365383907285
2 "WALKING" "tgravityaccmag-mean()" -0.535281800541722
2 "WALKING" "tgravityaccmag-std()" -0.552812545643709
3 "WALKING_DOWNSTAIRS" "fbodyacc-mean()-x" -0.625733289873607
3 "WALKING_DOWNSTAIRS" "fbodyacc-mean()-y" -0.501779938505279
3 "WALKING_DOWNSTAIRS" "fbodyacc-mean()-z" -0.699656828592375
3 "WALKING_DOWNSTAIRS" "fbodyacc-std()-x" -0.623805015199413
3 "WALKING_DOWNSTAIRS" "fbodyacc-std()-y" -0.502753639795894
3 "WALKING_DOWNSTAIRS" "fbodyacc-std()-z" -0.657443765803519
3 "WALKING_DOWNSTAIRS" "fbodyaccjerk-mean()-x" -0.645893496630499
3 "WALKING_DOWNSTAIRS" "fbodyaccjerk-mean()-y" -0.582949919157742
3 "WALKING_DOWNSTAIRS" "fbodyaccjerk-mean()-z" -0.780101644193548
3 "WALKING_DOWNSTAIRS" "fbodyaccjerk-std()-x" -0.657844055881525
3 "WALKING_DOWNSTAIRS" "fbodyaccjerk-std()-y" -0.559851186088408
3 "WALKING_DOWNSTAIRS" "fbodyaccjerk-std()-z" -0.81080601659824
3 "WALKING_DOWNSTAIRS" "fbodyaccmag-mean()" -0.579076453758064
3 "WALKING_DOWNSTAIRS" "fbodyaccmag-std()" -0.663079838985044
3 "WALKING_DOWNSTAIRS" "fbodybodyaccjerkmag-mean()" -0.604752108072727
3 "WALKING_DOWNSTAIRS" "fbodybodyaccjerkmag-std()" -0.615643694857361
3 "WALKING_DOWNSTAIRS" "fbodybodygyrojerkmag-mean()" -0.810085498651026
3 "WALKING_DOWNSTAIRS" "fbodybodygyrojerkmag-std()" -0.810032718739003
3 "WALKING_DOWNSTAIRS" "fbodybodygyromag-mean()" -0.716822144279179
3 "WALKING_DOWNSTAIRS" "fbodybodygyromag-std()" -0.703839403007038
3 "WALKING_DOWNSTAIRS" "fbodygyro-mean()-x" -0.642097719778592
3 "WALKING_DOWNSTAIRS" "fbodygyro-mean()-y" -0.775144985073314
3 "WALKING_DOWNSTAIRS" "fbodygyro-mean()-z" -0.670734708996481
3 "WALKING_DOWNSTAIRS" "fbodygyro-std()-x" -0.719276622702346
3 "WALKING_DOWNSTAIRS" "fbodygyro-std()-y" -0.758505287214076
3 "WALKING_DOWNSTAIRS" "fbodygyro-std()-z" -0.751008875659824
3 "WALKING_DOWNSTAIRS" "tbodyacc-mean()-x" 0.273428719636364
3 "WALKING_DOWNSTAIRS" "tbodyacc-mean()-y" -0.017856067384956
3 "WALKING_DOWNSTAIRS" "tbodyacc-mean()-z" -0.106492632429097
3 "WALKING_DOWNSTAIRS" "tbodyacc-std()-x" -0.623413602046921
3 "WALKING_DOWNSTAIRS" "tbodyacc-std()-y" -0.480015920697654
3 "WALKING_DOWNSTAIRS" "tbodyacc-std()-z" -0.653625579293255
3 "WALKING_DOWNSTAIRS" "tbodyaccjerk-mean()-x" 0.0701731261988856
3 "WALKING_DOWNSTAIRS" "tbodyaccjerk-mean()-y" 0.0144664329060411
3 "WALKING_DOWNSTAIRS" "tbodyaccjerk-mean()-z" -0.000526818872875366
3 "WALKING_DOWNSTAIRS" "tbodyaccjerk-std()-x" -0.635484688041056
3 "WALKING_DOWNSTAIRS" "tbodyaccjerk-std()-y" -0.55721186773783
3 "WALKING_DOWNSTAIRS" "tbodyaccjerk-std()-z" -0.796066240234604
3 "WALKING_DOWNSTAIRS" "tbodyaccjerkmag-mean()" -0.650182434328446
3 "WALKING_DOWNSTAIRS" "tbodyaccjerkmag-std()" -0.607658214170381
3 "WALKING_DOWNSTAIRS" "tbodyaccmag-mean()" -0.563140802770059
3 "WALKING_DOWNSTAIRS" "tbodyaccmag-std()" -0.591224780306452
3 "WALKING_DOWNSTAIRS" "tbodygyro-mean()-x" -0.0248490682828446
3 "WALKING_DOWNSTAIRS" "tbodygyro-mean()-y" -0.0743565308442815
3 "WALKING_DOWNSTAIRS" "tbodygyro-mean()-z" 0.0866875497119062
3 "WALKING_DOWNSTAIRS" "tbodygyro-std()-x" -0.699262195705865
3 "WALKING_DOWNSTAIRS" "tbodygyro-std()-y" -0.76302218170088
3 "WALKING_DOWNSTAIRS" "tbodygyro-std()-z" -0.709483440322581
3 "WALKING_DOWNSTAIRS" "tbodygyrojerk-mean()-x" -0.0991554609633431
3 "WALKING_DOWNSTAIRS" "tbodygyrojerk-mean()-y" -0.0401923943695015
3 "WALKING_DOWNSTAIRS" "tbodygyrojerk-mean()-z" -0.0521178264170088
3 "WALKING_DOWNSTAIRS" "tbodygyrojerk-std()-x" -0.689328428607038
3 "WALKING_DOWNSTAIRS" "tbodygyrojerk-std()-y" -0.842659862111437
3 "WALKING_DOWNSTAIRS" "tbodygyrojerk-std()-z" -0.743028500565982
3 "WALKING_DOWNSTAIRS" "tbodygyrojerkmag-mean()" -0.784056656246334
3 "WALKING_DOWNSTAIRS" "tbodygyrojerkmag-std()" -0.80366136372434
3 "WALKING_DOWNSTAIRS" "tbodygyromag-mean()" -0.643150121648094
3 "WALKING_DOWNSTAIRS" "tbodygyromag-std()" -0.674010290979472
3 "WALKING_DOWNSTAIRS" "tgravityacc-mean()-x" 0.707814353343108
3 "WALKING_DOWNSTAIRS" "tgravityacc-mean()-y" -0.0260590480328739
3 "WALKING_DOWNSTAIRS" "tgravityacc-mean()-z" 0.0480937904190616
3 "WALKING_DOWNSTAIRS" "tgravityacc-std()-x" -0.966457565630499
3 "WALKING_DOWNSTAIRS" "tgravityacc-std()-y" -0.9445645371261
3 "WALKING_DOWNSTAIRS" "tgravityacc-std()-z" -0.926966278211144
3 "WALKING_DOWNSTAIRS" "tgravityaccmag-mean()" -0.563140802770059
3 "WALKING_DOWNSTAIRS" "tgravityaccmag-std()" -0.591224780306452
4 "WALKING" "fbodyacc-mean()-x" -0.628806379100946
4 "WALKING" "fbodyacc-mean()-y" -0.52583456615142
4 "WALKING" "fbodyacc-mean()-z" -0.755235428895899
4 "WALKING" "fbodyacc-std()-x" -0.597551324155678
4 "WALKING" "fbodyacc-std()-y" -0.534661524341987
4 "WALKING" "fbodyacc-std()-z" -0.708764043722397
4 "WALKING" "fbodyaccjerk-mean()-x" -0.652023078038801
4 "WALKING" "fbodyaccjerk-mean()-y" -0.601696223759495
4 "WALKING" "fbodyaccjerk-mean()-z" -0.825154871135647
4 "WALKING" "fbodyaccjerk-std()-x" -0.644622004704416
4 "WALKING" "fbodyaccjerk-std()-y" -0.593855151524606
4 "WALKING" "fbodyaccjerk-std()-z" -0.860544668359621
4 "WALKING" "fbodyaccmag-mean()" -0.602098037677603
4 "WALKING" "fbodyaccmag-std()" -0.672948341687697
4 "WALKING" "fbodybodyaccjerkmag-mean()" -0.63501900541041
4 "WALKING" "fbodybodyaccjerkmag-std()" -0.666506718936908
4 "WALKING" "fbodybodygyrojerkmag-mean()" -0.838833209652997
4 "WALKING" "fbodybodygyrojerkmag-std()" -0.863096864037855
4 "WALKING" "fbodybodygyromag-mean()" -0.745650754608833
4 "WALKING" "fbodybodygyromag-std()" -0.732586304826498
4 "WALKING" "fbodygyro-mean()-x" -0.641881977553943
4 "WALKING" "fbodygyro-mean()-y" -0.831527531009464
4 "WALKING" "fbodygyro-mean()-z" -0.689308946422713
4 "WALKING" "fbodygyro-std()-x" -0.721749187328076
4 "WALKING" "fbodygyro-std()-y" -0.782885735867508
4 "WALKING" "fbodygyro-std()-z" -0.7670895729653
4 "WALKING" "tbodyacc-mean()-x" 0.274183111498423
4 "WALKING" "tbodyacc-mean()-y" -0.0148081545344921
4 "WALKING" "tbodyacc-mean()-z" -0.107521430810726
4 "WALKING" "tbodyacc-std()-x" -0.605211727785489
4 "WALKING" "tbodyacc-std()-y" -0.509929384011325
4 "WALKING" "tbodyacc-std()-z" -0.709492735962145
4 "WALKING" "tbodyaccjerk-mean()-x" 0.0788637845151419
4 "WALKING" "tbodyaccjerk-mean()-y" 0.00351340949514196
4 "WALKING" "tbodyaccjerk-mean()-z" -0.00737375142832808
4 "WALKING" "tbodyaccjerk-std()-x" -0.631853083289621
4 "WALKING" "tbodyaccjerk-std()-y" -0.584063204701893
4 "WALKING" "tbodyaccjerk-std()-z" -0.843353231167192
4 "WALKING" "tbodyaccjerkmag-mean()" -0.656116311856877
4 "WALKING" "tbodyaccjerkmag-std()" -0.647249966810726
4 "WALKING" "tbodyaccmag-mean()" -0.56158213510694
4 "WALKING" "tbodyaccmag-std()" -0.606556049548896
4 "WALKING" "tbodygyro-mean()-x" -0.0289417906907571
4 "WALKING" "tbodygyro-mean()-y" -0.0787229907785489
4 "WALKING" "tbodygyro-mean()-z" 0.0957174866009464
4 "WALKING" "tbodygyro-std()-x" -0.701397703369085
4 "WALKING" "tbodygyro-std()-y" -0.79823574873817
4 "WALKING" "tbodygyro-std()-z" -0.726374197066246
4 "WALKING" "tbodygyrojerk-mean()-x" -0.107859315713249
4 "WALKING" "tbodygyrojerk-mean()-y" -0.0400427574662461
4 "WALKING" "tbodygyrojerk-mean()-z" -0.0578089304000631
4 "WALKING" "tbodygyrojerk-std()-x" -0.723788617823344
4 "WALKING" "tbodygyrojerk-std()-y" -0.902502592618297
4 "WALKING" "tbodygyrojerk-std()-z" -0.748369141315457
4 "WALKING" "tbodygyrojerkmag-mean()" -0.819191368044164
4 "WALKING" "tbodygyrojerkmag-std()" -0.844187064164038
4 "WALKING" "tbodygyromag-mean()" -0.656291093847319
4 "WALKING" "tbodygyromag-std()" -0.706738493542587
4 "WALKING" "tgravityacc-mean()-x" 0.706593043123028
4 "WALKING" "tgravityacc-mean()-y" 0.112591195496986
4 "WALKING" "tgravityacc-mean()-z" 0.164130896618297
4 "WALKING" "tgravityacc-std()-x" -0.962636979274448
4 "WALKING" "tgravityacc-std()-y" -0.941416800167192
4 "WALKING" "tgravityacc-std()-z" -0.941403426072555
4 "WALKING" "tgravityaccmag-mean()" -0.56158213510694
4 "WALKING" "tgravityaccmag-std()" -0.606556049548896
5 "WALKING_DOWNSTAIRS" "fbodyacc-mean()-x" -0.55123770513245
5 "WALKING_DOWNSTAIRS" "fbodyacc-mean()-y" -0.440232431795033
5 "WALKING_DOWNSTAIRS" "fbodyacc-mean()-z" -0.696171811490066
5 "WALKING_DOWNSTAIRS" "fbodyacc-std()-x" -0.492829885748675
5 "WALKING_DOWNSTAIRS" "fbodyacc-std()-y" -0.422162171100331
5 "WALKING_DOWNSTAIRS" "fbodyacc-std()-z" -0.649351210748344
5 "WALKING_DOWNSTAIRS" "fbodyaccjerk-mean()-x" -0.604769869438742
5 "WALKING_DOWNSTAIRS" "fbodyaccjerk-mean()-y" -0.550991969857417
5 "WALKING_DOWNSTAIRS" "fbodyaccjerk-mean()-z" -0.768762357980132
5 "WALKING_DOWNSTAIRS" "fbodyaccjerk-std()-x" -0.584013626983444
5 "WALKING_DOWNSTAIRS" "fbodyaccjerk-std()-y" -0.491500434303907
5 "WALKING_DOWNSTAIRS" "fbodyaccjerk-std()-z" -0.798835563807947
5 "WALKING_DOWNSTAIRS" "fbodyaccmag-mean()" -0.528503022745033
5 "WALKING_DOWNSTAIRS" "fbodyaccmag-std()" -0.594259529756954
5 "WALKING_DOWNSTAIRS" "fbodybodyaccjerkmag-mean()" -0.573176177044172
5 "WALKING_DOWNSTAIRS" "fbodybodyaccjerkmag-std()" -0.613485123609272
5 "WALKING_DOWNSTAIRS" "fbodybodygyrojerkmag-mean()" -0.748829309536424
5 "WALKING_DOWNSTAIRS" "fbodybodygyrojerkmag-std()" -0.735610602483444
5 "WALKING_DOWNSTAIRS" "fbodybodygyromag-mean()" -0.677355755703311
5 "WALKING_DOWNSTAIRS" "fbodybodygyromag-std()" -0.715731148145695
5 "WALKING_DOWNSTAIRS" "fbodygyro-mean()-x" -0.632239300829801
5 "WALKING_DOWNSTAIRS" "fbodygyro-mean()-y" -0.71706218781457
5 "WALKING_DOWNSTAIRS" "fbodygyro-mean()-z" -0.537329127293278
5 "WALKING_DOWNSTAIRS" "fbodygyro-std()-x" -0.73573857718543
5 "WALKING_DOWNSTAIRS" "fbodygyro-std()-y" -0.702290390960265
5 "WALKING_DOWNSTAIRS" "fbodygyro-std()-z" -0.669353687483444
5 "WALKING_DOWNSTAIRS" "tbodyacc-mean()-x" 0.279177960301325
5 "WALKING_DOWNSTAIRS" "tbodyacc-mean()-y" -0.0154833455336192
5 "WALKING_DOWNSTAIRS" "tbodyacc-mean()-z" -0.105661736816887
5 "WALKING_DOWNSTAIRS" "tbodyacc-std()-x" -0.507691011391722
5 "WALKING_DOWNSTAIRS" "tbodyacc-std()-y" -0.402724906078146
